Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Bilsi (MB) - Ward No.1,Bilsi,Municipality,Budaun,Uttar Pradesh,30124
2,Bilsi (MB) - Ward No.2,Bilsi,Municipality,Budaun,Uttar Pradesh,30125
3,Bilsi (MB) - Ward No.3,Bilsi,Municipality,Budaun,Uttar Pradesh,30126
4,Bilsi (MB) - Ward No.4,Bilsi,Municipality,Budaun,Uttar Pradesh,30127
5,Bilsi (MB) - Ward No.5,Bilsi,Municipality,Budaun,Uttar Pradesh,30128
6,Bilsi (MB) - Ward No.6,Bilsi,Municipality,Budaun,Uttar Pradesh,30129
7,Bilsi (MB) - Ward No.7,Bilsi,Municipality,Budaun,Uttar Pradesh,30130
8,Bilsi (MB) - Ward No.8,Bilsi,Municipality,Budaun,Uttar Pradesh,30131
9,Bilsi (MB) - Ward No.9,Bilsi,Municipality,Budaun,Uttar Pradesh,30132
10,Bilsi (MB) - Ward No.10,Bilsi,Municipality,Budaun,Uttar Pradesh,30133
11,Bilsi (MB) - Ward No.11,Bilsi,Municipality,Budaun,Uttar Pradesh,30134
12,Bilsi (MB) - Ward No.12,Bilsi,Municipality,Budaun,Uttar Pradesh,30135
13,Bilsi (MB) - Ward No.13,Bilsi,Municipality,Budaun,Uttar Pradesh,30136
14,Bilsi (MB) - Ward No.14,Bilsi,Municipality,Budaun,Uttar Pradesh,30137
15,Bilsi (MB) - Ward No.15,Bilsi,Municipality,Budaun,Uttar Pradesh,30138
16,Bilsi (MB) - Ward No.16,Bilsi,Municipality,Budaun,Uttar Pradesh,30139
17,Bilsi (MB) - Ward No.17,Bilsi,Municipality,Budaun,Uttar Pradesh,30140
18,Bilsi (MB) - Ward No.18,Bilsi,Municipality,Budaun,Uttar Pradesh,30141
19,Bilsi (MB) - Ward No.19,Bilsi,Municipality,Budaun,Uttar Pradesh,30142
20,Bilsi (MB) - Ward No.20,Bilsi,Municipality,Budaun,Uttar Pradesh,30143
21,Bilsi (MB) - Ward No.21,Bilsi,Municipality,Budaun,Uttar Pradesh,30144
22,Bilsi (MB) - Ward No.22,Bilsi,Municipality,Budaun,Uttar Pradesh,30145
23,Bilsi (MB) - Ward No.23,Bilsi,Municipality,Budaun,Uttar Pradesh,30146
24,Bilsi (MB) - Ward No.24,Bilsi,Municipality,Budaun,Uttar Pradesh,30147
25,Bilsi (MB) - Ward No.25,Bilsi,Municipality,Budaun,Uttar Pradesh,30148
1,Bisauli (MB) - Ward No.1,Bisauli,Municipality,Budaun,Uttar Pradesh,29887
2,Bisauli (MB) - Ward No.2,Bisauli,Municipality,Budaun,Uttar Pradesh,29888
